Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.159,0.01953125,0.953613281,0.319335938,-8.7890625,0.427246094,2.197265625,1.89E+08
192.168.43.159,0.095214844,0.860351563,0.362792969,-12.39013672,-4.333496094,2.44140625,1.89E+08
192.168.43.159,0.062011719,0.97265625,0.326660156,-2.9296875,8.117675781,1.403808594,1.89E+08
192.168.43.159,0.021484375,0.962890625,0.313476563,-10.80322266,2.502441406,1.159667969,1.89E+08
192.168.43.159,0.0625,0.920898438,0.355957031,-14.83154297,-5.554199219,1.953125,1.89E+08
192.168.43.159,0.055175781,0.908203125,0.373535156,-13.12255859,-3.479003906,1.403808594,1.89E+08
192.168.43.159,0.04296875,0.907226563,0.375488281,-10.98632813,-3.112792969,0.244140625,1.89E+08
192.168.43.159,0.086914063,0.89453125,0.375,-4.760742188,0.183105469,1.586914063,1.89E+08
192.168.43.159,0.008789063,0.987792969,0.336914063,1.892089844,11.16943359,2.44140625,1.89E+08
192.168.43.159,0.056640625,0.897460938,0.362792969,-12.08496094,-4.455566406,1.159667969,1.89E+08
192.168.43.159,0.077148438,0.909667969,0.382324219,-9.399414063,-3.234863281,1.892089844,1.89E+08
192.168.43.159,0.045410156,0.94140625,0.366210938,-5.432128906,3.479003906,1.46484375,1.89E+08
192.168.43.159,0.068847656,0.8671875,0.38671875,-6.713867188,1.281738281,1.586914063,1.89E+08
192.168.43.159,0.047851563,0.971191406,0.354003906,-2.624511719,4.028320313,1.403808594,1.89E+08
192.168.43.159,0.055664063,0.875976563,0.376953125,-11.41357422,-1.953125,1.525878906,1.90E+08
192.168.43.159,0.048828125,0.9375,0.377441406,-6.958007813,1.708984375,1.892089844,1.90E+08
192.168.43.159,0.062011719,0.897460938,0.396484375,-10.07080078,-2.319335938,1.281738281,1.90E+08
192.168.43.159,0.071289063,0.921875,0.390136719,-5.981445313,-0.610351563,2.44140625,1.90E+08
192.168.43.159,0.060546875,0.888671875,0.389648438,-7.385253906,-1.098632813,1.46484375,1.90E+08
192.168.43.159,0.087402344,0.92578125,0.395507813,-0.244140625,5.249023438,2.258300781,1.90E+08
192.168.43.159,0.028320313,0.910644531,0.391113281,-8.605957031,3.356933594,2.014160156,1.90E+08
192.168.43.159,0.071289063,0.899414063,0.408691406,-8.544921875,-3.479003906,1.770019531,1.90E+08
192.168.43.159,0.072753906,0.869140625,0.414550781,-6.652832031,-2.807617188,1.892089844,1.90E+08
192.168.43.159,0.0703125,0.934570313,0.384765625,-1.403808594,1.037597656,1.159667969,1.90E+08
192.168.43.159,0.055175781,0.900390625,0.397460938,-6.225585938,-2.868652344,0,1.90E+08
192.168.43.159,0.059082031,0.901367188,0.409179688,-5.737304688,-4.577636719,0.732421875,1.90E+08
192.168.43.159,0.060546875,0.903320313,0.387695313,-6.408691406,-4.516601563,1.037597656,1.90E+08
192.168.43.159,0.082519531,0.903808594,0.410644531,-7.141113281,-3.662109375,1.342773438,1.90E+08
192.168.43.159,0.096679688,0.874511719,0.441894531,-0.732421875,3.051757813,1.46484375,1.90E+08
192.168.43.159,0.040039063,0.910644531,0.422851563,2.319335938,4.211425781,0.122070313,1.90E+08
